alg,suite,fid,dim,ERT,succ,runs,best_err,mean_err
NLSHADE-RSP,eng,3,4,nan,0,30,12486703.993768394,12493754.616491469
NLSHADE-RSP,eng,7,4,nan,0,30,nan,nan
NLSHADE-RSP,eng,4,5,nan,0,30,nan,nan
NLSHADE-RSP,eng,11,5,nan,0,30,nan,nan
NLSHADE-RSP,eng,5,7,nan,0,30,278.373089459973,278.373089459973
NLSHADE-RSP,eng,9,10,nan,0,30,nan,nan
NLSHADE-RSP,eng,12,10,nan,0,30,nan,nan
NLSHADE-RSP,eng,6,11,nan,0,30,nan,nan
PSO,eng,10,2,nan,0,30,nan,nan
PSO,eng,2,3,nan,0,30,2.612730944197644,2.612733523430586
PSO,eng,8,3,nan,0,30,1.000000200000006,1.0000014895848774
PSO,eng,1,4,nan,0,30,6.6803508749126195,194.791747015024
PSO,eng,3,4,nan,0,30,12486935.722871296,12509305.917976063
PSO,eng,7,4,nan,0,30,nan,nan
PSO,eng,4,5,nan,0,30,nan,nan
PSO,eng,11,5,nan,0,30,nan,nan
PSO,eng,5,7,nan,0,30,254.29972230457452,274.9094880726667
PSO,eng,9,10,nan,0,30,nan,nan
PSO,eng,12,10,nan,0,30,nan,nan
PSO,eng,6,11,nan,0,30,nan,nan
Spiral-LSHADE,eng,10,2,nan,0,30,nan,nan
Spiral-LSHADE,eng,2,3,nan,0,30,2.612734584852802,2.6127347472950055
Spiral-LSHADE,eng,8,3,nan,0,30,1.000000200000006,1.000000200000006
Spiral-LSHADE,eng,1,4,nan,0,30,213.27888534573776,255.15144413618756
Spiral-LSHADE,eng,3,4,nan,0,30,12486703.993768383,12486703.99376842
Spiral-LSHADE,eng,7,4,nan,0,30,nan,nan
Spiral-LSHADE,eng,4,5,nan,0,30,nan,nan
Spiral-LSHADE,eng,11,5,nan,0,30,nan,nan
Spiral-LSHADE,eng,5,7,nan,0,30,278.37308945997256,278.3730894599728
Spiral-LSHADE,eng,9,10,nan,0,30,nan,nan
Spiral-LSHADE,eng,12,10,nan,0,30,nan,nan
Spiral-LSHADE,eng,6,11,nan,0,30,nan,nan
SSA,eng,10,2,nan,0,30,nan,nan
SSA,eng,2,3,nan,0,30,2.612732319565077,2.6127342759436334
SSA,eng,8,3,nan,0,30,1.000000200000006,1.0012152741807996
SSA,eng,1,4,nan,0,30,3.0954014156159246,915.0422500242476
SSA,eng,3,4,nan,0,30,14485655.400598224,22457094.595662735
SSA,eng,7,4,nan,0,30,nan,nan
SSA,eng,4,5,nan,0,30,nan,nan
SSA,eng,11,5,nan,0,30,nan,nan
SSA,eng,5,7,nan,0,30,56.821382723909664,170.99026750316747
SSA,eng,9,10,nan,0,30,nan,nan
SSA,eng,12,10,nan,0,30,nan,nan
SSA,eng,6,11,nan,0,30,nan,nan
SciPyDE,eng,10,2,nan,0,30,nan,nan
SciPyDE,eng,2,3,nan,0,30,2.6126902878595453,2.612719827295791
SciPyDE,eng,8,3,nan,0,30,1.0008866736365714,1.0040677997504333
SciPyDE,eng,1,4,nan,0,30,96.81227110082637,221.24365166069137
SciPyDE,eng,3,4,nan,0,30,12493696.105865154,12517546.460377907
SciPyDE,eng,7,4,nan,0,30,nan,nan
SciPyDE,eng,4,5,nan,0,30,nan,nan
SciPyDE,eng,11,5,nan,0,30,nan,nan
SciPyDE,eng,5,7,nan,0,30,251.89892901756093,261.0428641044379
SciPyDE,eng,9,10,nan,0,30,nan,nan
SciPyDE,eng,12,10,nan,0,30,nan,nan
SciPyDE,eng,6,11,nan,0,30,nan,nan
jSO,eng,10,2,nan,0,30,nan,nan
jSO,eng,2,3,nan,0,30,2.612734727698286,2.6127347651349617
jSO,eng,8,3,nan,0,30,1.000000200000006,1.000000200000006
jSO,eng,1,4,nan,0,30,257.0281487510656,257.02814875106645
jSO,eng,3,4,nan,0,30,12486703.993768381,12486703.993768387
jSO,eng,7,4,nan,0,30,nan,nan
jSO,eng,4,5,nan,0,30,nan,nan
jSO,eng,11,5,nan,0,30,nan,nan
jSO,eng,5,7,nan,0,30,278.37308945997256,278.37308945997296
jSO,eng,9,10,nan,0,30,nan,nan
jSO,eng,12,10,nan,0,30,nan,nan
jSO,eng,6,11,nan,0,30,nan,nan
