alg,fid,problem,dim,fbest_mean,fbest_std,err_mean,err_std,nfe_mean,succ_rate
PSO,8,four_bar_truss,3,2.0000014895848772,4.107596732694956e-06,1.0000014895848774,4.107596732743772e-06,12020.0,0.0
PSO,9,ten_bar_truss,10,0.5767829877711824,0.2712460422070191,,,40050.0,0.0
PSO,10,cantilever_cont,2,5.624980687516742e+22,0.0,,,8020.0,0.0
PSO,11,cantilever_disc,5,48694148148371.82,20911397973441.02,,,20025.0,0.0
PSO,12,stepped_column,10,149013556.46772185,2875125.534451307,,,40050.0,0.0
Spiral-LSHADE,1,pressure_vessel,4,5804.562555863812,8.069144689358456,255.15144413618756,8.069144689358495,16000.666666666666,0.0
Spiral-LSHADE,2,tension_spring,3,0.012665252704994526,4.9152685359332935e-08,2.6127347472950055,4.915268528177454e-08,12000.0,0.0
Spiral-LSHADE,3,welded_beam,4,12486705.71862042,1.3325131025054818e-07,12486703.99376842,1.3325131025054818e-07,16000.0,0.0
Spiral-LSHADE,4,gear_box,5,6415.27991745469,0.0,,,20000.3,0.0
Spiral-LSHADE,5,speed_reducer,7,2715.6269105400274,3.377778524319217e-13,278.37308945997285,2.3029508442998366e-13,28000.166666666668,0.0
Spiral-LSHADE,6,car_side_impact,11,8902973.941673076,0.0,,,44000.0,0.0
Spiral-LSHADE,7,hydrostatic_thrust_bearing,4,0.00014021268554017128,0.0,,,16000.0,0.0
Spiral-LSHADE,8,four_bar_truss,3,2.000000200000006,0.0,1.000000200000006,0.0,12000.3,0.0
Spiral-LSHADE,9,ten_bar_truss,10,0.2497278206064945,1.544136568779726e-05,,,40000.23333333333,0.0
Spiral-LSHADE,10,cantilever_cont,2,5.624980687516742e+22,0.0,,,8000.633333333333,0.0
Spiral-LSHADE,11,cantilever_disc,5,23307111111411.113,0.0,,,20000.1,0.0
Spiral-LSHADE,12,stepped_column,10,146292361.53839567,0.0,,,40000.0,0.0
SSA,1,pressure_vessel,4,6958.2854715757385,679.6540925298058,915.0422500242477,656.5272267719565,30420.0,0.0
SSA,2,tension_spring,3,0.012665724056366293,5.443540267481161e-07,2.6127342759436334,5.443540267120272e-07,22820.0,0.0
SSA,3,welded_beam,4,22457096.32051473,5547007.9036711175,22457094.59566273,5547007.9036711175,30420.0,0.0
SSA,4,gear_box,5,6603.969533483687,184.66239345730096,,,38425.0,0.0
SSA,5,speed_reducer,7,2823.0097324968324,60.52549071935518,170.99026750316747,60.525490719355176,53635.0,0.0
SSA,6,car_side_impact,11,9801421.09806653,519648.5311978505,,,84055.0,0.0
SSA,7,hydrostatic_thrust_bearing,4,0.00026323326128117967,6.154759413328554e-05,,,1.0,0.0
SSA,8,four_bar_truss,3,2.0012152741807996,0.0019199891209425043,1.0012152741807996,0.0019199891209424216,22820.0,0.0
SSA,9,ten_bar_truss,10,0.24971813148846994,4.386350653847e-05,,,76050.0,0.0
SSA,10,cantilever_cont,2,5.646911179804706e+22,3.417046840354969e+20,,,15220.0,0.0
SSA,11,cantilever_disc,5,28575259259535.926,5728165817968.002,,,38425.0,0.0
SSA,12,stepped_column,10,180730669.0545426,18565174.27145325,,,76050.0,0.0
SciPyDE,1,pressure_vessel,4,5838.470348339309,34.74476268180394,221.24365166069137,34.744762681804154,5732.0,0.0
SciPyDE,2,tension_spring,3,0.012680172704208171,9.401759948268858e-06,2.6127198272957917,9.401759948203352e-06,2556.0,0.0
SciPyDE,3,welded_beam,4,12517548.185229907,19941.193306926038,12517546.460377907,19941.193306926038,5674.0,0.0
SciPyDE,4,gear_box,5,6432.00217505586,8.122373310146681,,,2787.5,0.0
SciPyDE,5,speed_reducer,7,2732.9571358955623,4.911510412980533,261.0428641044379,4.91151041298065,4749.5,0.0
SciPyDE,6,car_side_impact,11,8927777.77290772,7635.068553913588,,,8624.0,0.0
SciPyDE,7,hydrostatic_thrust_bearing,4,0.00014052668437933744,1.5581081271776635e-07,,,1268.0,0.0
SciPyDE,8,four_bar_truss,3,2.004067799750433,0.0023787513568871484,1.0040677997504333,0.0023787513568872018,1909.5,0.0
SciPyDE,9,ten_bar_truss,10,0.2577921822346284,0.002682195158300951,,,40050.0,0.0
SciPyDE,10,cantilever_cont,2,5.6322645458025666e+22,5.131523790071653e+19,,,769.0,0.0
SciPyDE,11,cantilever_disc,5,31110814815083.15,8675633112597.874,,,4485.0,0.0
SciPyDE,12,stepped_column,10,148175011.70790225,458161.9758662262,,,17040.0,0.0
jSO,1,pressure_vessel,4,5802.685851248933,3.377778524319217e-13,257.02814875106645,3.5624030493800767e-13,14235.8,0.0
jSO,2,tension_spring,3,0.012665234865037666,7.87505877900174e-09,2.612734765134962,7.875058679972237e-09,12029.6,0.0
