alg,suite,fid,dim,run,fbest,err,nfe,hit,time_sec
GWO,eng,7,4,28,0.00031174978905271005,nan,1,0,0.0004887580871582031
MealpyGA,eng,7,4,28,0.00031174978905271005,nan,1,0,0.00044083595275878906
SSA,eng,7,4,28,0.00031174978905271005,nan,1,0,0.00044083595275878906
NLSHADE-RSP,eng,7,4,29,inf,nan,0,0,4.4345855712890625e-05
LSHADE,eng,7,4,29,inf,nan,0,0,2.47955322265625e-05
JADE,eng,7,4,29,inf,nan,0,0,2.193450927734375e-05
jSO,eng,7,4,29,0.00020465601375049006,nan,16002,0,0.834010124206543
Spiral-LSHADE,eng,7,4,29,0.00014021268554017128,nan,16000,0,0.5910260677337646
CMAES,eng,7,4,29,inf,nan,0,0,0.0019860267639160156
SciPyDE,eng,7,4,29,0.00014062036401324193,nan,1080,0,0.04400634765625
LBFGSB,eng,7,4,29,inf,nan,0,0,0.0002651214599609375
PSO,eng,7,4,29,0.0002726299682410115,nan,1,0,0.0006492137908935547
GWO,eng,7,4,29,0.0002726299682410115,nan,1,0,0.0004684925079345703
MealpyGA,eng,7,4,29,0.0002726299682410115,nan,1,0,0.00044417381286621094
SSA,eng,7,4,29,0.0002726299682410115,nan,1,0,0.0004222393035888672
NLSHADE-RSP,eng,8,3,0,2.000000200000006,1.000000200000006,12002,0,0.33786988258361816
LSHADE,eng,8,3,0,2.000000200000006,1.000000200000006,1320,0,0.04551410675048828
JADE,eng,8,3,0,2.000000200000006,1.000000200000006,2280,0,0.06151103973388672
jSO,eng,8,3,0,2.000000200000006,1.000000200000006,3110,0,0.0944209098815918
Spiral-LSHADE,eng,8,3,0,2.000000200000006,1.000000200000006,12000,0,0.9329380989074707
CMAES,eng,8,3,0,2.000000200000006,1.000000200000006,498,0,0.06504392623901367
SciPyDE,eng,8,3,0,2.0040322252594853,1.0040322252594853,1890,0,0.10161256790161133
LBFGSB,eng,8,3,0,2.000000200000006,1.000000200000006,8,0,0.00093841552734375
PSO,eng,8,3,0,2.0000193862677933,1.0000193862677933,12020,0,0.999422550201416
GWO,eng,8,3,0,2.000000200000006,1.000000200000006,12020,0,1.0221316814422607
MealpyGA,eng,8,3,0,2.042307149410774,1.042307149410774,12020,0,1.5406923294067383
SSA,eng,8,3,0,2.000000200000006,1.000000200000006,22820,0,2.1735711097717285
NLSHADE-RSP,eng,8,3,1,2.000000200000006,1.000000200000006,12002,0,0.3027775287628174
LSHADE,eng,8,3,1,2.000000200000006,1.000000200000006,1290,0,0.03839993476867676
JADE,eng,8,3,1,2.000000200000006,1.000000200000006,2160,0,0.05457735061645508
jSO,eng,8,3,1,2.000000200000006,1.000000200000006,3146,0,0.08057260513305664
Spiral-LSHADE,eng,8,3,1,2.000000200000006,1.000000200000006,12000,0,0.9358751773834229
CMAES,eng,8,3,1,2.000000200000006,1.000000200000006,435,0,0.05842423439025879
