alg,suite,fid,dim,ERT,succ,runs,best_err,mean_err
GWO,cec2014,8,10,nan,0,30,2.996954333318399,14.296998424161238
GWO,cec2014,9,10,nan,0,30,4.4088149697512335,15.958354236168555
GWO,cec2014,10,10,nan,0,30,74.28105534617316,395.5076545508618
GWO,cec2014,11,10,nan,0,30,36.8112419328736,417.36022747242595
GWO,cec2014,12,10,nan,0,30,0.07972157919198253,1.3158703039132282
GWO,cec2014,13,10,nan,0,30,0.10956117784303387,0.1920588235699294
GWO,cec2014,14,10,nan,0,30,0.10957525640196764,0.2240149789496551
GWO,cec2014,15,10,nan,0,30,0.5228780072350219,1.9237347361994201
GWO,cec2014,16,10,nan,0,30,1.0760325321969049,2.357107778724973
GWO,cec2014,17,10,nan,0,30,2737.500802535629,13279.803224889425
GWO,cec2014,18,10,nan,0,30,9989.596695868317,26180.73811796739
GWO,cec2014,19,10,nan,0,30,2.005400276776072,13.208384619313135
GWO,cec2014,20,10,nan,0,30,7549.359906690419,26061.805664684773
GWO,cec2014,21,10,nan,0,30,883.8608290945731,6058.421122345666
GWO,cec2014,22,10,nan,0,30,3.177503763579807,154.9830372336924
GWO,cec2014,23,10,nan,0,30,200.0,211.09716835083103
GWO,cec2014,24,10,nan,0,30,109.18450527535742,120.28013250997151
GWO,cec2014,25,10,nan,0,30,200.0,200.74849039128264
GWO,cec2014,26,10,nan,0,30,100.07338043883829,100.18115962674185
GWO,cec2014,27,10,nan,0,30,4.590374694711954,361.7456580750516
GWO,cec2014,28,10,nan,0,30,357.0113406211485,447.8379710444873
GWO,cec2014,29,10,nan,0,30,4501386.595681584,5867534.872694462
GWO,cec2014,30,10,nan,0,30,4681.592043355291,922162.5045359896
JADE,cec2014,1,10,69980.0,17,30,1.4210854715202004e-14,167.26573876995195
JADE,cec2014,2,10,48413.15789473684,19,30,0.0,0.0017674442119821757
JADE,cec2014,3,10,32038.0,30,30,0.0,3.187021017462636e-10
JADE,cec2014,4,10,283130.0,4,30,0.0,28.113250556966083
JADE,cec2014,5,10,nan,0,30,1.7175255005269037,19.405592187527837
JADE,cec2014,6,10,60538.82352941176,17,30,0.0,0.17271666677592065
JADE,cec2014,7,10,nan,0,30,2.4781301135590184e-06,0.008266440417836899
JADE,cec2014,8,10,29840.0,29,30,0.0,0.03316530190311369
JADE,cec2014,9,10,nan,0,30,1.991504398983011,4.283418428767496
JADE,cec2014,10,10,163734.2857142857,7,30,0.0,4.556805741363011
JADE,cec2014,11,10,nan,0,30,18.801771808104604,272.55604656091845
JADE,cec2014,12,10,nan,0,30,0.045228152114304976,0.09530633878641766
JADE,cec2014,13,10,nan,0,30,0.05733669154005838,0.12554823903759219
JADE,cec2014,14,10,nan,0,30,0.07587384934140573,0.20545024674856904
JADE,cec2014,15,10,nan,0,30,0.2071736653208518,0.5064668725357023
JADE,cec2014,16,10,nan,0,30,1.5129930464670451,2.2498663702033808
JADE,cec2014,17,10,nan,0,30,3.1930201680972914,298.67897732735395
JADE,cec2014,18,10,nan,0,30,0.0630327060637228,2.3708708435633903
JADE,cec2014,19,10,nan,0,30,1.7470312510570238,3.845308726017174
JADE,cec2014,20,10,nan,0,30,0.5949127781291281,232.59969402125765
JADE,cec2014,21,10,nan,0,30,0.5067349064015616,4.644489415992121
JADE,cec2014,22,10,nan,0,30,1.1638291396293425,81.84339472175526
JADE,cec2014,23,10,nan,0,30,236.83046069909415,242.04844911485907
JADE,cec2014,24,10,nan,0,30,105.99593742455909,110.06289520931018
JADE,cec2014,25,10,nan,0,30,134.18038173173272,195.02265801727498
JADE,cec2014,26,10,nan,0,30,100.04968981407319,100.11104808386172
JADE,cec2014,27,10,nan,0,30,5.295729155815025,308.8449921115441
JADE,cec2014,28,10,nan,0,30,356.82687929708845,421.6373445106014
JADE,cec2014,29,10,nan,0,30,4499877.191111636,5446745.6940344395
JADE,cec2014,30,10,nan,0,30,1784.03689915197,23454.198279128068
LBFGSB,cec2014,1,10,nan,0,30,2.9788256625806753e-06,751152514.1284568
LBFGSB,cec2014,2,10,nan,0,30,2.046939471256337e-07,6785080979.616031
LBFGSB,cec2014,3,10,nan,0,30,7.142909907997819e-08,0.0015384760081606904
LBFGSB,cec2014,4,10,nan,0,30,1.8378369759375346e-07,1891.0145421758198
LBFGSB,cec2014,5,10,nan,0,30,19.9989698721555,20.00872850168507
LBFGSB,cec2014,6,10,nan,0,30,13.829156950480751,18.218078110075734
LBFGSB,cec2014,7,10,nan,0,30,5.546201009565266e-08,25.069825523473487
LBFGSB,cec2014,8,10,nan,0,30,55.71752034356962,139.2484145463197
LBFGSB,cec2014,9,10,nan,0,30,56.16155390792005,168.89108840091504
LBFGSB,cec2014,10,10,nan,0,30,1063.2767970252262,1931.8138471693694
LBFGSB,cec2014,11,10,nan,0,30,442.83911708954656,1891.7748156350378
LBFGSB,cec2014,12,10,nan,0,30,1.4592606086519027,6.486419382806829
LBFGSB,cec2014,13,10,nan,0,30,0.028523623058390513,1.2393335174302063
