fid,CMAES,GA,GWO,JADE,LBFGSB,LSHADE,NLSHADE-RSP,PSO,SSA,SciPyDE,Spiral-LSHADE,jSO
11,7.178e+02 ± 3.928e+02,5.881e+02 ± 2.619e+02,4.174e+02 ± 2.754e+02,2.726e+02 ± 1.368e+02,1.892e+03 ± 5.560e+02,2.000e+02 ± 9.490e+01,1.768e+02 ± 7.986e+01,5.210e+02 ± 2.316e+02,1.211e+03 ± 4.392e+02,1.223e+03 ± 1.610e+02,2.779e+02 ± 1.626e+02,1.060e+02 ± 1.007e+02
12,7.428e-01 ± 8.084e-01,3.115e-01 ± 1.059e-01,1.316e+00 ± 3.514e-01,9.531e-02 ± 2.698e-02,6.486e+00 ± 4.041e+00,2.825e-01 ± 7.180e-02,1.915e-01 ± 7.577e-02,2.075e-01 ± 1.559e-01,1.005e+00 ± 3.732e-01,3.250e+00 ± 7.504e-01,2.312e-01 ± 1.504e-01,9.068e-01 ± 2.908e-01
13,1.158e-01 ± 5.005e-02,4.849e-01 ± 1.315e-01,1.921e-01 ± 6.788e-02,1.255e-01 ± 4.016e-02,1.239e+00 ± 1.561e+00,1.263e-01 ± 2.916e-02,9.468e-02 ± 3.746e-02,4.140e-01 ± 1.610e-01,5.563e-01 ± 1.835e-01,3.858e+00 ± 5.728e-01,9.312e-02 ± 3.086e-02,1.162e-01 ± 3.208e-02
14,4.505e-01 ± 1.295e-01,4.508e-01 ± 2.914e-01,2.240e-01 ± 1.028e-01,2.055e-01 ± 7.657e-02,5.000e-01 ± 8.971e-02,1.819e-01 ± 4.271e-02,1.475e-01 ± 4.096e-02,3.788e-01 ± 2.894e-01,4.575e-01 ± 3.675e-01,6.480e+00 ± 2.067e+00,1.478e-01 ± 5.602e-02,1.825e-01 ± 4.663e-02
15,1.139e+00 ± 4.153e-01,2.808e+00 ± 1.311e+00,1.924e+00 ± 7.655e-01,5.065e-01 ± 1.224e-01,5.046e+06 ± 1.924e+07,6.244e-01 ± 9.692e-02,7.882e-01 ± 2.483e-01,2.406e+00 ± 1.037e+00,1.045e+02 ± 9.516e+01,6.302e+00 ± 1.097e+00,7.447e-01 ± 2.239e-01,6.253e-01 ± 1.514e-01
16,3.619e+00 ± 3.446e-01,2.646e+00 ± 3.435e-01,2.357e+00 ± 5.491e-01,2.250e+00 ± 3.010e-01,4.678e+00 ± 2.819e-01,2.076e+00 ± 3.149e-01,1.984e+00 ± 3.453e-01,2.800e+00 ± 4.278e-01,3.468e+00 ± 3.545e-01,4.295e+00 ± 1.499e-01,2.539e+00 ± 4.227e-01,1.912e+00 ± 4.432e-01
17,1.610e+02 ± 1.858e+02,9.467e+03 ± 7.210e+03,1.328e+04 ± 9.059e+03,2.987e+02 ± 5.239e+02,4.453e+08 ± 2.439e+09,1.634e+02 ± 4.766e+02,1.545e+02 ± 1.137e+02,4.066e+03 ± 3.754e+03,4.957e+04 ± 1.112e+05,6.001e+02 ± 3.549e+02,1.049e-01 ± 2.869e-01,1.138e-01 ± 3.035e-01
18,6.809e+00 ± 5.979e+00,1.792e+04 ± 1.771e+04,2.618e+04 ± 1.029e+04,2.371e+00 ± 1.644e+00,2.236e+09 ± 4.622e+09,1.028e+00 ± 6.549e-01,1.928e+00 ± 1.077e+00,6.989e+02 ± 7.467e+02,1.029e+04 ± 1.061e+04,2.964e+01 ± 6.027e+00,5.063e-01 ± 2.377e-01,4.927e-01 ± 3.345e-01
19,8.435e+00 ± 7.369e+00,5.535e+01 ± 4.728e+01,1.321e+01 ± 1.660e+01,3.845e+00 ± 3.769e+00,4.461e+09 ± 6.338e+09,2.327e+00 ± 1.493e+00,2.790e+00 ± 7.054e-01,1.782e+01 ± 2.770e+01,5.924e+03 ± 2.260e+04,6.669e+00 ± 1.521e+00,2.480e+00 ± 6.316e-01,2.529e+00 ± 2.921e-01
20,5.361e+00 ± 7.384e+00,1.712e+04 ± 1.359e+04,2.606e+04 ± 1.160e+04,2.326e+02 ± 1.019e+03,5.169e+16 ± 3.655e+16,9.990e-01 ± 6.991e-01,4.194e+00 ± 4.158e+00,1.036e+04 ± 8.448e+03,1.000e+09 ± 3.455e+09,9.124e+01 ± 5.946e+01,1.035e+00 ± 4.349e-01,5.683e-01 ± 1.636e-01
21,8.976e-01 ± 3.553e-01,1.362e+04 ± 2.592e+04,6.058e+03 ± 4.129e+03,4.644e+00 ± 9.507e+00,1.507e+09 ± 5.734e+09,2.242e+00 ± 3.897e+00,2.012e+00 ± 2.346e+00,1.071e+02 ± 1.255e+02,1.441e+05 ± 6.530e+05,1.994e+01 ± 2.295e+01,9.926e-01 ± 2.818e-01,5.270e-01 ± 2.241e-01
22,1.941e+02 ± 2.063e+02,1.498e+02 ± 1.203e+02,1.550e+02 ± 1.079e+02,8.184e+01 ± 9.838e+01,1.187e+17 ± 2.333e+17,3.774e+01 ± 6.624e+01,9.466e+00 ± 8.195e+00,1.359e+02 ± 1.319e+02,1.622e+05 ± 8.771e+05,1.388e+02 ± 1.105e+02,2.270e+01 ± 4.272e+00,1.913e+01 ± 7.048e+00
23,2.417e+02 ± 1.647e+00,2.389e+02 ± 9.445e+00,2.111e+02 ± 1.874e+01,2.420e+02 ± 9.855e-01,2.480e+02 ± 1.766e+01,2.420e+02 ± 9.855e-01,1.343e+02 ± 1.199e+02,2.417e+02 ± 1.647e+00,2.000e+02 ± 3.643e-10,2.613e+02 ± 4.830e+00,2.422e+02 ± 0.000e+00,2.419e+02 ± 1.369e+00
24,1.232e+02 ± 1.088e+01,1.252e+02 ± 6.286e+00,1.203e+02 ± 8.883e+00,1.101e+02 ± 2.011e+00,2.655e+02 ± 7.071e+01,1.099e+02 ± 1.979e+00,1.108e+02 ± 2.130e+00,1.371e+02 ± 1.080e+01,1.957e+02 ± 1.688e+01,1.885e+02 ± 1.073e+01,1.116e+02 ± 3.305e+00,1.050e+02 ± 3.290e+00
25,1.940e+02 ± 1.726e+01,2.002e+02 ± 8.592e+00,2.007e+02 ± 2.558e-01,1.950e+02 ± 1.691e+01,2.101e+02 ± 1.118e+01,1.989e+02 ± 8.025e+00,1.424e+02 ± 4.313e+00,1.982e+02 ± 1.045e+01,2.000e+02 ± 1.832e-10,2.065e+02 ± 2.260e+00,1.943e+02 ± 1.620e+01,1.956e+02 ± 1.297e+01
26,1.001e+02 ± 6.445e-02,1.005e+02 ± 1.305e-01,1.002e+02 ± 7.428e-02,1.001e+02 ± 3.082e-02,2.628e+02 ± 1.491e+02,1.001e+02 ± 3.160e-02,1.001e+02 ± 4.353e-02,1.004e+02 ± 1.987e-01,1.040e+02 ± 1.814e+01,1.016e+02 ± 2.815e-01,1.001e+02 ± 3.434e-02,1.001e+02 ± 2.754e-02
27,3.385e+02 ± 4.187e+01,3.735e+02 ± 1.025e+02,3.617e+02 ± 7.703e+01,3.088e+02 ± 1.283e+02,1.341e+03 ± 1.210e+03,2.897e+02 ± 1.498e+02,4.930e+00 ± 1.151e+00,3.839e+02 ± 7.287e+01,2.000e+02 ± 5.038e-10,3.288e+02 ± 1.631e+02,7.063e+01 ± 1.499e+02,2.148e+02 ± 2.014e+02
28,4.378e+02 ± 7.428e+01,5.093e+02 ± 7.920e+01,4.478e+02 ± 5.342e+01,4.216e+02 ± 5.818e+01,2.018e+03 ± 1.255e+03,4.063e+02 ± 5.043e+01,3.643e+02 ± 5.237e+01,5.190e+02 ± 8.504e+01,2.000e+02 ± 1.371e-09,4.786e+02 ± 6.336e+01,3.635e+02 ± 2.148e+01,3.714e+02 ± 2.133e+01
29,6.532e+06 ± 1.914e+06,5.150e+06 ± 6.137e+05,5.868e+06 ± 7.267e+05,5.447e+06 ± 7.711e+05,7.565e+06 ± 2.562e+06,5.154e+06 ± 5.408e+05,4.500e+06 ± 4.365e-02,5.304e+06 ± 8.815e+05,2.000e+02 ± 2.472e-05,5.123e+06 ± 3.813e+05,4.743e+06 ± 3.781e+05,5.043e+06 ± 4.085e+05
30,7.153e+05 ± 2.058e+06,1.035e+06 ± 2.587e+06,9.222e+05 ± 2.726e+06,2.345e+04 ± 3.218e+04,4.391e+04 ± 5.910e+04,1.734e+04 ± 2.147e+04,2.592e+03 ± 9.270e+02,6.799e+04 ± 1.469e+05,2.004e+02 ± 4.988e-01,1.251e+04 ± 1.847e+04,2.923e+03 ± 2.999e+03,2.373e+03 ± 2.584e+02
